;number of rooms;area of apartment;number of floors;apartment floor;price;repair;bathroom;terrace;year of construction;elevator;type of house;parking;district;street;concierge;garbage chute
188;2;42.3;5;1;2100000.0;требует ремонта;совмещенный;нет;1960;0.0;кирпичный;открытая во дворе;р-н Кировский;улица Липатова, 13;0;0
189;2;53.8;5;5;6250000.0;дизайнерский;совмещенный;нет;1957;0.0;кирпичный;за шлагбаумом во дворе;р-н Свердловский;Комсомольский проспект, 64;0;0
190;3;61.1;9;5;3650000.0;косметический;раздельный;лоджия;1984;1.0;панельный;открытая во дворе;р-н Мотовилихинский;улица Старцева, 11;0;1
191;3;117.8;18;16;15000000.0;дизайнерский;несколько;нет;2005;1.0;кирпичный;подземная, за шлагбаумом во дворе;р-н Свердловский;улица 25 Октября, 72;1;0
192;3;72.0;11;5;5200000.0;евро;раздельный;лоджия;2003;1.0;панельный;за шлагбаумом во дворе, открытая во дворе;р-н Мотовилихинский;улица КИМ, 49;0;1
193;2;52.9;10;9;3620000.0;дизайнерский;раздельный;лоджия;2011;1.0;панельный;за шлагбаумом во дворе;р-н Кировский;улица Каляева, 18;0;0
194;1;38.4;7;4;2999000.0;евро;раздельный;лоджия;2007;1.0;панельный;открытая во дворе;р-н Дзержинский;улица Транспортная, 11;1;1
195;;;;;;;;;;;;;;;;
196;2;59.4;10;1;4350000.0;косметический;раздельный;лоджия;2012;2.0;панельный;за шлагбаумом во дворе;р-н Дзержинский;улица Докучаева, 40;0;1
197;;;;;;;;;;;;;;;;
198;4;76.9;10;10;5750000.0;косметический;раздельный;лоджия;1992;1.0;кирпичный;открытая во дворе;р-н Индустриальный;улица Советской Армии, 49;0;0
199;2;49.0;12;10;3650000.0;косметический;раздельный;лоджия;1979;1.0;панельный;открытая во дворе;р-н Дзержинский;Парковый проспект, 30/1;0;1
200;1;36.0;10;4;2550000.0;косметический;раздельный;балкон;2000;2.0;панельный;за шлагбаумом во дворе;р-н Кировский;улица Каляева, 11;0;0
201;2;60.4;4;2;4800000.0;требует ремонта;совмещенный;лоджия;2017;0.0;кирпичный;за шлагбаумом во дворе;р-н Кировский;улица Кировоградская, 180В;1;0
202;1;37.4;5;2;1950000.0;косметический;совмещенный;нет;2004;0.0;кирпичный;открытая во дворе;р-н Орджоникидзевский;улица Менжинского, 15;0;0
203;2;43.0;5;3;2050000.0;требует ремонта;совмещенный;балкон;1968;0.0;кирпичный;открытая во дворе;р-н Орджоникидзевский;улица Репина, 27;0;0
204;1;31.8;5;1;1690000.0;евро;совмещенный;нет;1965;0.0;панельный;открытая во дворе;р-н Кировский;улица Магистральная, 100;0;0
205;3;65.8;9;4;5760000.0;евро;раздельный;балкон;1986;1.0;панельный;открытая во дворе;р-н Свердловский;улица Народовольческая, 37;0;0
206;2;48.5;9;2;2899000.0;требует ремонта;раздельный;лоджия;1979;1.0;кирпичный;открытая во дворе;р-н Дзержинский;улица Ветлужская, 58;0;1
207;1;16.0;5;1;1100000.0;косметический;совмещенный;нет;1982;0.0;кирпичный;открытая во дворе;р-н Мотовилихинский;улица КИМ, 91;1;0
208;3;58.7;5;1;3400000.0;косметический;раздельный;нет;1981;0.0;панельный;открытая во дворе;р-н Кировский;улица Адмирала Ушакова, 57/1;0;0
209;2;56.0;14;9;3850000.0;требует ремонта;раздельный;лоджия;1975;1.0;кирпичный;открытая во дворе;р-н Дзержинский;улица Плеханова, 63А;1;1
210;2;46.0;3;3;2200000.0;косметический;совмещенный;балкон;1969;0.0;кирпичный;открытая во дворе;р-н Дзержинский;улица Марии Загуменных, 14;0;0
211;;;;;;;;;;;;;;;;
212;2;54.3;16;1;3390000.0;косметический;раздельный;лоджия;2000;1.0;панельный;открытая во дворе;р-н Мотовилихинский;бульвар Гагарина, 70А;1;1
213;1;44.5;25;4;3980000.0;косметический;совмещенный;лоджия;2019;2.0;монолитный;наземная многоуровневая, за шлагбаумом во дворе, открытая во дворе;р-н Свердловский;улица Героев Хасана, 11Б;1;0
214;2;46.1;10;9;4450000.0;евро;совмещенный;лоджия;2008;1.0;кирпичный;за шлагбаумом во дворе;р-н Индустриальный;улица Мира, 8Б;0;0
215;;;;;;;;;;;;;;;;
216;2;61.8;16;10;4570000.0;евро;совмещенный;лоджия;2016;1.0;монолитный;за шлагбаумом во дворе;р-н Кировский;улица Светлогорская, 11;0;0
217;3;75.6;20;11;8990000.0;дизайнерский;совмещенный;лоджия;2017;2.0;монолитный;подземная;р-н Свердловский;улица Пушкина, 6;0;0
218;2;70.0;9;6;5550000.0;евро;раздельный;лоджия;2008;1.0;панельный;за шлагбаумом во дворе;р-н Мотовилихинский;улица Тургенева, 33А;0;0
219;2;44.2;3;2;2250000.0;косметический;совмещенный;балкон;1959;0.0;кирпичный;открытая во дворе;р-н Дзержинский;улица Папанинцев, 12;0;0
220;2;52.8;10;2;4500000.0;косметический;раздельный;лоджия;1992;1.0;кирпичный;открытая во дворе;р-н Индустриальный;улица Советской Армии, 49;0;0
221;2;54.0;16;10;5400000.0;евро;раздельный;лоджия;2016;2.0;монолитный;открытая во дворе;р-н Дзержинский;улица Челюскинцев, 2А;1;1
222;;;;;;;;;;;;;;;;
223;1;32.5;5;3;3000000.0;требует ремонта;совмещенный;нет;1959;0.0;кирпичный;открытая во дворе;р-н Свердловский;улица Героев Хасана, 15;0;0
224;2;44.0;5;4;3190000.0;косметический;раздельный;балкон;1970;0.0;панельный;открытая во дворе;р-н Индустриальный;улица Чердынская, 29;0;0
225;3;63.0;5;2;2650000.0;косметический;раздельный;балкон;1982;0.0;панельный;открытая во дворе;р-н Свердловский;поселок Новые Ляды, ул. Мира, 15;0;0
226;3;61.3;5;5;5090000.0;косметический;раздельный;балкон;1972;0.0;кирпичный;за шлагбаумом во дворе;р-н Ленинский;улица Ленина, 72А;0;0
