;address;district;number of floors;apartment floor;number of rooms;area of apartment;bathroom;repair;view from the windows;terrace;garbage chute;type of house;parking;concierge;elevator;link;price
1034; ул. Николая Островского, 70;р-н Свердловский;9;9.0;3;61.0;раздельный;косметический;во двор;лоджия;True;панельный;открытая во дворе;False;True;https://www.avito.ru/perm/kvartiry/3-k._kvartira_61m_99et._2156992052;4200000.0
1035; ул. Калинина, 52;р-н Кировский;10;7.0;2;52.0;раздельный;евро;во двор;лоджия;False;панельный;открытая во дворе;False;True;https://www.avito.ru/perm/kvartiry/2-k._kvartira_52m_710et._2046211430;3900000.0
1036; пр-т Декабристов, 50;р-н Индустриальный;4;3.0;1;32.0;совмещенный;дизайнерский;на улицу;балкон;False;кирпичный;за шлагбаумом во дворе, открытая во дворе;False;True;https://www.avito.ru/perm/kvartiry/1-k._kvartira_32m_34et._2230637528;3490000.0
1037; пр-т Декабристов, 50;р-н Индустриальный;4;3.0;1;32.0;совмещенный;дизайнерский;на улицу;балкон;False;кирпичный;за шлагбаумом во дворе, открытая во дворе;False;True;https://www.avito.ru/perm/kvartiry/1-k._kvartira_32m_34et._2230637528;3490000.0
1038; пр-т Декабристов, 50;р-н Индустриальный;4;3.0;1;32.0;совмещенный;дизайнерский;на улицу;балкон;False;кирпичный;за шлагбаумом во дворе, открытая во дворе;False;True;https://www.avito.ru/perm/kvartiry/1-k._kvartira_32m_34et._2230637528;3490000.0
1039; ул. Революции, 3/4;р-н Свердловский;9;4.0;4;76.0;раздельный;косметический;на улицу, во двор;лоджия;True;кирпичный;открытая во дворе;False;True;https://www.avito.ru/perm/kvartiry/4-k._kvartira_76m_49et._2189371628;6500000.0
1040; ул. Сакко и Ванцетти, 93А;р-н Мотовилихинский;9;8.0;5;146.0;несколько;косметический;на улицу;лоджия;False;монолитный;открытая во дворе;True;True;https://www.avito.ru/perm/kvartiry/5-k._kvartira_146m_89et._2051058221;8340000.0
1041; ул. Сакко и Ванцетти, 93А;р-н Мотовилихинский;9;8.0;5;146.0;несколько;косметический;на улицу;лоджия;False;монолитный;открытая во дворе;True;True;https://www.avito.ru/perm/kvartiry/5-k._kvartira_146m_89et._2051058221;8340000.0
1042; ул. Мира, 118;р-н Индустриальный;5;3.0;2;44.0;совмещенный;косметический;на улицу, во двор;нет;False;кирпичный;открытая во дворе;False;False;https://www.avito.ru/perm/kvartiry/2-k._kvartira_44m_35et._1738642785;2700000.0
1043; Красновишерская ул., 35;р-н Мотовилихинский;16;6.0;1;56.8;совмещенный;евро;на улицу;лоджия;False;монолитный;за шлагбаумом во дворе;False;True;https://www.avito.ru/perm/kvartiry/1-k._kvartira_568m_616et._2141648713;5950000.0
1044; Пушкарская ул., 100;р-н Мотовилихинский;16;11.0;4;83.0;совмещенный;дизайнерский;во двор;лоджия;True;панельный;за шлагбаумом во дворе;True;True;https://www.avito.ru/perm/kvartiry/4-k._kvartira_83m_1116et._1749024081;6700000.0
1045; ул. Николая Островского, 55;р-н Свердловский;13;3.0;3;73.0;совмещенный;косметический;на улицу;нет;True;кирпичный;за шлагбаумом во дворе;False;True;https://www.avito.ru/perm/kvartiry/3-k._kvartira_73m_313et._2035453273;6000000.0
